Symbol,Name,Market Cap,Sector,Industry,Beta,Price,Dividend,Volume,Exchange,Exchange Code,Country,isFund
SPAN,1922,,,,,,0.0,0,NASDAQ,NASDAQ,,True
SHLM,"A. Schulman, Inc.",,,,,,0.0,0,NASDAQ,NASDAQ,,True
NMRX,5294,,,,,,0.0,0,NASDAQ,NASDAQ,,True
AAPL,Apple Inc.,3598354347000.0,Technology,Consumer Electronics,1.239,236.67,1.0,20934508,NASDAQ Global Select,NASDAQ,US,False
NVDA,NVIDIA Corporation,3489331175000.0,Technology,Semiconductors,1.669,142.2475,0.04,179410389,NASDAQ Global Select,NASDAQ,US,False
MSFT,Microsoft Corporation,3099747153312.0,Technology,Software - Infrastructure,0.896,417.0228,3.32,6966949,NASDAQ Global Select,NASDAQ,US,False
VSMPX,Vanguard Total Stock Mkt Idx Instl Pls,2233924321246.0,,,1.01,263.8,1.784,0,Nasdaq,NASDAQ,,True
GOOG,Alphabet Inc.,2029741571863.0,Communication Services,Internet Content & Information,1.038,165.78,0.8,6180952,NASDAQ Global Select,NASDAQ,US,False
GOOGL,Alphabet Inc.,2027361259231.0,Communication Services,Internet Content & Information,1.038,164.065,0.8,8252217,NASDAQ Global Select,NASDAQ,US,False
AMZN,"Amazon.com, Inc.",1980414764000.0,Consumer Cyclical,Specialty Retail,1.147,188.69,0.0,14462445,NASDAQ Global Select,NASDAQ,US,False
META,"Meta Platforms, Inc.",1450723322962.0,Communication Services,Internet Content & Information,1.216,573.45,2.0,5222942,NASDAQ Global Select,NASDAQ,US,False
VFIAX,Vanguard 500 Index Fd Admiral Shs,1277424697298.0,,,1.0,541.49,5.1332,0,NASDAQ,NASDAQ,,True
VOO,Vanguard 500 Index Fund,1274001257672.0,Financial Services,Asset Management,1.0,535.9199,6.7661,2260464,New York Stock Exchange Arca,AMEX,US,True
VITSX,Vanguard Total Stock Market Index Fund,1190890045314.0,Financial Services,Asset Management,1.01,140.63,0.9520000000000001,0,NASDAQ,NASDAQ,US,True
VTSAX,Vanguard Total Stock Market Index Fund,1190720700415.0,Financial Services,Asset Management,1.01,140.61,0.9450000000000001,0,NASDAQ,NASDAQ,US,True
BRK-B,Berkshire Hathaway Inc.,998781888868.0,Financial Services,Insurance - Diversified,0.869,463.13,0.0,1427038,New York Stock Exchange,NYSE,US,False
BRK-A,Berkshire Hathaway Inc.,998103442655.0,Financial Services,Insurance - Diversified,0.869,695517.75,0.0,1528,New York Stock Exchange,NYSE,US,False
TSM,Taiwan Semiconductor Manufacturing Company Limited,881175214788.0,Technology,Semiconductors,1.268,201.8,2.47,10862388,New York Stock Exchange,NYSE,TW,False
LLY,Eli Lilly and Company,863822232454.0,Healthcare,Drug Manufacturers - General,0.41600000000000004,908.879,5.2,746752,New York Stock Exchange,NYSE,US,False
AVGO,Broadcom Inc.,838369110000.0,Technology,Semiconductors,1.184,179.5,2.12,7205160,NASDAQ Global Select,NASDAQ,US,False
TSLA,"Tesla, Inc.",694169714880.0,Consumer Cyclical,Auto - Manufacturers,2.297,217.292,0.0,37561852,NASDAQ Global Select,NASDAQ,US,False
WMT,Walmart Inc.,650776720000.0,Consumer Defensive,Discount Stores,0.516,80.96,0.8300000000000001,3537754,New York Stock Exchange,NYSE,US,False
JPM,JPMorgan Chase & Co.,636094981844.0,Financial Services,Banks - Diversified,1.102,223.5709,5.0,2656627,New York Stock Exchange,NYSE,US,False
FXAIX,Fidelity 500 Index Fund,599394746296.0,Financial Services,Asset Management,1.0,203.77,1.88,0,NASDAQ,NASDAQ,US,True
VTI,Vanguard Total Stock Market Index Fund,596648079245.0,Financial Services,Asset Management,1.01,287.7187,3.7348,1677104,New York Stock Exchange Arca,AMEX,US,True
V,Visa Inc.,568409129005.0,Financial Services,Financial - Credit Services,0.961,287.67,2.08,2150867,New York Stock Exchange,NYSE,US,False
SPY,SPDR S&P 500 ETF Trust,535048595832.0,Financial Services,Asset Management,1.0,582.98,7.00556,20407972,New York Stock Exchange Arca,AMEX,US,False
XOM,Exxon Mobil Corporation,533806024500.0,Energy,Oil & Gas Integrated,0.877,120.15,3.8,4523315,New York Stock Exchange,NYSE,US,False
UNH,UnitedHealth Group Incorporated,529949590200.0,Healthcare,Medical - Healthcare Plans,0.593,573.9,8.4,1754547,New York Stock Exchange,NYSE,US,False
IVV,iShares Core S&P 500 ETF,517466616486.0,Financial Services,Asset Management,1.0,585.76,7.43637,1469008,New York Stock Exchange Arca,AMEX,US,False
NVO,Novo Nordisk A/S,515382393541.0,Healthcare,Biotechnology,0.148,117.425,1.45,2043202,New York Stock Exchange,NYSE,DK,False
ORCL,Oracle Corporation,481831912800.0,Technology,Software - Infrastructure,1.008,173.88,1.6,1745879,New York Stock Exchange,NYSE,US,False
MA,Mastercard Incorporated,473371226180.0,Financial Services,Financial - Credit Services,1.103,516.38,2.64,981249,New York Stock Exchange,NYSE,US,False
VTIAX,Vanguard Total International Stock Index Fd Admiral,463318679549.0,,,1.03,34.3,0.97,0,NASDAQ,NASDAQ,,True
VTPSX,Vanguard Total Intl Stock Idx InstlPls,463318679456.0,,,1.03,137.19,3.927,0,Nasdaq,NASDAQ,,True
VXUS,Vanguard Total Intl Stock Idx Fund,459043623949.0,Financial Services,Asset Management,1.03,63.1915,1.8264,1718293,NASDAQ Global Market,NASDAQ,US,True
HD,"The Home Depot, Inc.",402807925045.0,Consumer Cyclical,Home Improvement,1.008,405.5278,9.0,1779411,New York Stock Exchange,NYSE,US,False
PG,The Procter & Gamble Company,398111365300.0,Consumer Defensive,Household & Personal Products,0.40700000000000003,169.43,4.03,2618835,New York Stock Exchange,NYSE,US,False
COST,Costco Wholesale Corporation,393702308487.0,Consumer Defensive,Discount Stores,0.787,888.5701,4.64,521019,NASDAQ Global Select,NASDAQ,US,False
JNJ,Johnson & Johnson,393391160800.0,Healthcare,Drug Manufacturers - General,0.518,163.42,4.96,2954127,New York Stock Exchange,NYSE,US,False
VBTLX,Vanguard Total Bond Market Index Fund Admiral Shares,343379345399.0,Financial Services,Asset Management - Bonds,0.99,9.72,0.28500000000000003,0,NASDAQ,NASDAQ,US,True
VBMPX,Vanguard Total Bond Market Idx InstlPls,343379345399.0,Financial Services,Asset Management - Bonds,0.99,9.72,0.314,0,NASDAQ,NASDAQ,,True
VBMFX,Vanguard Total Bond Market Index Fund Investor Shares,343379345399.0,Financial Services,Asset Management - Bonds,0.99,9.72,0.275,0,NASDAQ,NASDAQ,,True
CHTEX.BR,Chevron Corporation,343087513388.0,Energy,Oil & Gas Integrated,1.164436,170.32,6.04,6,Brussels,EURONEXT,US,False
BND,Vanguard Total Bond Market Index Fund,341495201837.0,Financial Services,Asset Management - Bonds,0.99,73.405,2.5684,3386168,NASDAQ Global Market,NASDAQ,US,True
VMCPX,Vanguard Mid-Cap Index Fund Institutional Plus Shares,339695599596.0,Financial Services,Asset Management,1.04,364.69,3.07083,0,NASDAQ,NASDAQ,,True
ABBV,AbbVie Inc.,330420392100.0,Healthcare,Drug Manufacturers - General,0.618,187.065,6.2,2202391,New York Stock Exchange,NYSE,US,False
NFLX,"Netflix, Inc.",329512887000.0,Communication Services,Entertainment,1.2610000000000001,767.8,0.0,4485174,NASDAQ Global Select,NASDAQ,US,False
BAC,Bank of America Corporation,321698136800.0,Financial Services,Banks - Diversified,1.338,41.84,1.04,15115111,New York Stock Exchange,NYSE,US,False
VIMAX,Vanguard Mid-Cap Index Fund Admiral Shares,311807574000.0,Financial Services,Asset Management,1.04,334.75,2.6020000000000003,0,NASDAQ,NASDAQ,,True
VINIX,Vanguard Institutional Index Fund Institutional Shares,309798010754.0,Financial Services,Asset Management,1.0,482.87,3.232999999999999,0,NASDAQ,NASDAQ,US,True
